review_id,stars,text,food_pos,ambience_pos,service_pos,price_pos
yi0R0Ugj_xUx_Nek0-_Qig,5,went lunch steak sandwich delici caesar salad absolut delici dress perfect dress distribut perfectli leaf know go salad perfect drink price pretti good server dawn friendli accommod happi summat great pub experi,1.0,,1.0,1.0
fdiNeiN_hoCxCMy2wTRW9g,4,admit excit go tavolta food snob group friend suggest dinner look onlin menu special overpr big order pasta ala outnumb thank good order sea bass special die cook perfectli season perfectli perfect portion good thing dish server ask proud dish said chef incred job hubbi got crab tortellini love heard mmmm good tabl waiter super nice gave free dessert peopl restaur servic slow place pack jug wine larg group good convers bother order calamari fri zucchini appet leav mussel sea bass special highli recommend chicken parm crab tortellini good big chicken romano bit bland hous salad teeni reserv expect wait food larg group peopl plan loud date fight feel like hear ask sit room avail,1.0,0.0,0.0,1.0
G7XHMxG0bx9oBJNECG4IFg,3,traci dessert big hong kong markham place year came chines dessert select increas tremend year add price increas tremend waitress gave tea tast red date fanci simpl taro coconut tapioca pearl like basic dessert crazi liter dessert home bowl probabl cost like year ago think like reason wow littl dessert traci dessert littl expens saw item menu like fish ball chicken wing shave ic friend got mango drink fresh mango surpris peopl come traci dessert work came sundai tabl fill think tabl perfect wait seat long time tabl kept fill tabl finish,1.0,1.0,,0.0
8e9HxxLjjqc9ez5ezzN7iQ,1,place gone hill clearli cut staff food qualiti review written menu chang go year food qualiti gone hill servic slow salad bad get worth spend monei place option,0.0,,0.0,0.0
kbtscdyz6lvrtGjD1quQTg,4,like walk time saturdai morn sister bowl leagu spend quarter plai pin ball machin mother came pick sister dare plai machin hard afraid tilt show freez game hand bit gentler want sure got quarter worth place row row machin old mid theme pac man fun spend afternoon plai machin rememb fun earli teen year,,,,1.0
-I5umRTkhw15RqpKMl_o1Q,1,walk fridai afternoon sat tabl bar walk min think realiz walk bar notic walk servic non exist best good wai new busi start locat differ thing past year ad list smdh,,,0.0,
Z7wgXp98wYB57QdRY3HQ3w,4,wow surpris star review start tender calamari marinara sauc bit bland touch salt right husband veal pepper said delici tender mash potato perfect salmon diablo delici salad beauti dress serv salad nice end delici meal piec tiramisu server matt right pleasant knowledg menu appet salad entre time perfectli love salad mind entre serv eat problem let dinner cool right temp eat comfort wonder peopl appreci relax take time eat wonder beautifulli prepar meal wonder atmospher relax chair super comfort certainli try talwai review bottl riesl calamari app delici entre dessert,1.0,1.0,1.0,1.0
JVcjMhlavKKn3UIt9p9OXA,1,believ thing chang year pick duck conge winter hubbi sick disappoint ginger fish sauc tast like gone bad bitter todai hubbi want eat crave duck conge place serv duck coleslaw wait minut menu place order wait minut tea place bring menu detail gist stori understaf staff slow worst servic server feel bad ask like took order arriv place order coupl bside minut ahead coupl receiv pho eat pho came,0.0,,0.0,
svK3nBU7Rk8VfGorlrN52A,5,wrong place pasta pizza amaz high qualiti price reason owner staff friendli downtown check place lot peopl think downtown lot option case lot poor qualiti food downtown,1.0,,1.0,1.0
1wVA2-vQIuW_ClmXkDxqMQ,4,great lunch todai staff help assist select knowledg ingredi enjoi bbq chicken tika masala sauc good naan bread biryani chicken yummi fun food prepar tandoori oven great addit fast casual scene cleveland,1.0,1.0,1.0,
